Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Geely Coolray I,Geely,Coolray I,155 277,1.5,150,2022,1 490 000,1 490 000,белый,робот,передний,Бензин,Солнечногорск
Chery Tiggo 8 Pro e+,Chery,Tiggo 8 Pro e+,37,1.5,235,2023,2 695 000,2 695 000,серый,автомат,передний,Гибрид,Тверь (160 км от Москвы)
Chery Tiggo (T11) I,Chery,Tiggo (T11) I,283 000,1.9,132,2008,170 000,170 000,зелёный,механика,передний,Бензин,Владимир (170 км от Москвы)
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 509 000 ,Not available,Comfort,механика,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,1 900 900 ,Not available,Elite,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 222 900 ,Not available,Prime,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 115 383 ,Not available,Elite,робот,передний,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 419 990 ,Not available,Luxury,робот,передний,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 419 990 ,Not available,Luxury,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,1 899 000 ,Not available,Premium,робот,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,1 986 750 ,Not available,Premium,робот,полный,Бензин,Москва
Geely Vision X3 I Рестайлинг,Geely,Vision X3 I Рестайлинг,43 270,1.5,109,2021,1 003 000,1 003 000,белый,вариатор,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 830 000 ,Not available,Action,вариатор,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,4 050 000 ,Not available,Prime,автомат,полный,Бензин,Подольск
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,1 900 900 ,Not available,Elite,робот,передний,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 747 190 ,Not available,Flagship (2023),робот,передний,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 747 190 ,Not available,Flagship (2023),робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 331 000 ,Not available,Ultra Black,робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 317 000 ,Not available,Ultra Black,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 788 730 ,Not available,Action,механика,передний,Бензин,Москва
Chery Tiggo 7 II,Chery,Tiggo 7 II,26 000,1.5,156,2021,1 300 000,1 300 000,белый,вариатор,передний,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,2 419 990 ,Not available,Luxury,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,3 355 000,3 355 000,Ultra AWD,робот,полный,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,3 182 190 ,Not available,Luxury,робот,передний,Бензин,Москва
Geely Monjaro I,Geely,Monjaro I,25 678,2.0,238,2022,2 124 037,2 124 037,чёрный,автомат,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 115 383 ,Not available,Elite,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 630 000 ,Not available,Prime,робот,передний,Бензин,Подольск
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 920 000 ,Not available,Action,вариатор,передний,Бензин,Подольск
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 470 000 ,Not available,Action,вариатор,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,3 018 705,3 018 705,Prime,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,1 836 750 ,Not available,Elite,робот,полный,Бензин,Москва
Geely Boyue Cool,Geely,Boyue Cool,20 000,1.5,174,2023,1 700 000,1 700 000,зелёный,робот,передний,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 694 190 ,Not available,Comfort,робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,3 100 000,3 100 000,Prime,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 211 750 ,Not available,Elite,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 604 300,2 604 300,Prime,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,1,2.0,238,2025,3 300 000,3 300 000,серебристый,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 330 000 ,Not available,Active AWD,робот,полный,Бензин,Подольск
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 259 900 ,Not available,Elite,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 100 000 ,Not available,Active AWD,робот,полный,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,4 150 000 ,Not available,Ultra,автомат,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,2 115 383 ,Not available,Tech+,робот,полный,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 170 000 ,Not available,Prime,робот,передний,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 317 000 ,Not available,Ultra,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 286 750 ,Not available,Premium,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 539 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 259 900 ,Not available,Elite,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 189 267 ,Not available,Prime AWD,робот,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 795 900 ,Not available,Premium,робот,передний,Бензин,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,245,2024,3 345 000 ,Not available,Prime,автомат,полный,Бензин,Ржавки
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,3 359 190 ,Not available,Luxury,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2024,1 836 750 ,Not available,Elite,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 520 095 ,Not available,Ultra AWD,робот,полный,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,Новый,1.5,147,2024,2 959 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,3 094 190 ,Not available,Flagship Sport,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2024,1 649 000,1 649 000,Action,механика,передний,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,3 159 190 ,Not available,Luxury,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 263 883 ,Not available,Premium,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 286 750 ,Not available,Premium,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 263 883 ,Not available,Premium,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 365 000 ,Not available,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,3 010 000,3 010 000,Prime,робот,передний,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,Новый,1.5,147,2024,2 989 190 ,Not available,Exclusive,робот,передний,Бензин,Москва
Geely Preface I,Geely,Preface I,Новый,2.0,200,2024,3 367 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 409 000 ,Not available,Premium,робот,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,1,2.0,238,2025,3 300 000,3 300 000,чёрный,автомат,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 509 000 ,Not available,Comfort,механика,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 795 900 ,Not available,Premium,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 263 883 ,Not available,Premium,робот,передний,Бензин,Москва
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,2 957 220 ,Not available,Ultimate,автомат,передний,Гибрид,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,1 874 250 ,Not available,Premium,робот,передний,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 769 744 ,Not available,Luxury (2023),робот,передний,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,3 020 000 ,Not available,Ultimate 4WD,робот,полный,Бензин,Обнинск
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2024,2 820 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Обнинск
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,3 299 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 499 000 ,Not available,Elite,робот,передний,Бензин,Обнинск
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 840 000 ,Not available,Prime,робот,передний,Бензин,Обнинск
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 563 450 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 563 450 ,Not available,Action,вариатор,передний,Бензин,Балашиха
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2025,2 980 000 ,Not available,Elite FWD,робот,передний,Бензин,Обнинск
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2025,3 450 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Обнинск
